h,a_eff,rmse
0.4,0.794641,0.00277564
0.4,0.79705,0.00284038
0.4,0.79946,0.0029052
0.4,0.801869,0.00297008
0.4,0.804278,0.00303503
0.4,0.806688,0.00310003
0.4,0.809097,0.00316508
0.4,0.811506,0.00323019
0.4,0.813916,0.00329535
0.4,0.816325,0.00336055
0.4,0.818735,0.00342579
0.4,0.821144,0.00349108
0.4,0.823553,0.0035564
0.4,0.825963,0.00362176
0.4,0.828372,0.00368715
0.4,0.830781,0.00375258
0.5,0.532677,0.00348987
0.5,0.535848,0.00340666
0.5,0.53902,0.00332348
0.5,0.542192,0.00324037
0.5,0.545363,0.00315731
0.5,0.548535,0.00307433
0.5,0.551706,0.00299142
0.5,0.554878,0.00290861
0.5,0.55805,0.0028259
0.5,0.561221,0.0027433
0.5,0.564393,0.00266084
0.5,0.567565,0.00257852
0.5,0.570736,0.00249637
0.5,0.573908,0.0024144
0.5,0.577079,0.00233265
0.5,0.580251,0.00225113
0.5,0.583423,0.00216988
0.5,0.586594,0.00208894
0.5,0.589766,0.00200834
0.5,0.592937,0.00192814
0.5,0.596109,0.0018484
0.5,0.599281,0.00176917
0.5,0.602452,0.00169054
0.5,0.605624,0.0016126
0.5,0.608795,0.00153547
0.5,0.611967,0.00145927
0.5,0.615139,0.00138416
0.5,0.61831,0.00131035
0.5,0.621482,0.00123807
0.5,0.624653,0.0011676
0.5,0.627825,0.00109932
0.5,0.630997,0.00103365
0.5,0.634168,0.000971145
0.5,0.63734,0.000912453
0.5,0.640511,0.000858371
0.5,0.643683,0.000809831
0.5,0.646855,0.000767895
0.5,0.650026,0.000733707
0.5,0.653198,0.0007084
0.5,0.656369,0.000692959
0.5,0.659541,0.000688058
0.5,0.662713,0.000693932
0.5,0.665884,0.000710322
0.5,0.669056,0.000736537
0.5,0.672227,0.000771584
0.5,0.675399,0.000814332
0.5,0.678571,0.000863645
0.5,0.681742,0.000918475
0.5,0.684914,0.000977899
0.5,0.688086,0.00104114
0.5,0.691257,0.00110754
0.5,0.694429,0.00117658
0.5,0.6976,0.00124783
0.5,0.700772,0.00132092
0.5,0.703944,0.00139558
0.5,0.707115,0.00147156
0.5,0.710287,0.00154869
0.5,0.713458,0.00162679
0.5,0.71663,0.00170574
0.5,0.719802,0.00178543
0.5,0.722973,0.00186576
0.5,0.726145,0.00194666
0.5,0.729316,0.00202806
0.5,0.732488,0.00210991
0.5,0.73566,0.00219216
0.5,0.738831,0.00227476
0.5,0.742003,0.00235768
0.5,0.745174,0.0024409
0.5,0.748346,0.00252437
0.5,0.751518,0.00260809
0.5,0.754689,0.00269202
0.5,0.757861,0.00277615
0.5,0.761032,0.00286047
0.5,0.764204,0.00294495
0.5,0.767376,0.00302959
0.5,0.770547,0.00311437
0.5,0.773719,0.00319928
0.5,0.77689,0.00328431
0.5,0.780062,0.00336946
0.5,0.783234,0.00345472
0.5,0.786405,0.00354008
0.5,0.789577,0.00362553
0.5,0.792749,0.00371106
0.5,0.79592,0.00379668
0.5,0.799092,0.00388237
0.5,0.802263,0.00396814
0.5,0.805435,0.00405397
0.5,0.808607,0.00413987
0.5,0.811778,0.00422583
0.5,0.81495,0.00431184
0.5,0.818121,0.00439791
0.5,0.821293,0.00448403
0.5,0.824465,0.00457019
0.5,0.827636,0.0046564
0.5,0.830808,0.00474266
0.5,0.833979,0.00482895
0.5,0.837151,0.00491529
0.5,0.840323,0.00500165
0.5,0.843494,0.00508806
0.5,0.846666,0.00517449
0.5,0.849837,0.00526096
