theta1,theta3,diff
-0.10472,-2.61799,0.00078457
-0.10472,-2.40855,0.000674316
-0.10472,-2.19911,0.000417789
-0.10472,-1.98968,0.000368562
-0.10472,-1.78024,0.000243614
-0.10472,-1.5708,0.000317165
-0.10472,-1.36136,0.000265517
-0.10472,-1.15192,0.000410002
-0.10472,-0.942478,0.000385134
-0.10472,-0.733038,9.92718e-05
-0.10472,-0.523599,0.000173129
-0.10472,-0.314159,0.00034086
-0.10472,-0.10472,0.000253696
-0.10472,0.10472,0.000313565
-0.10472,0.314159,0.00040329
-0.10472,0.523599,0.000332453
-0.10472,0.733038,0.000258807
-0.10472,0.942478,0.00021784
-0.10472,1.15192,0.00018163
-0.10472,1.36136,0.000217667
-0.10472,1.5708,0.000228387
-0.10472,1.78024,0.000326371
-0.10472,1.98968,0.00045788
-0.10472,2.19911,0.000398278
-0.10472,2.40855,0.000263938
-0.10472,2.61799,0.00037223
-0.10472,2.82743,0.000446947
-0.10472,3.03687,0.000537317
0.10472,-3.03687,0.000609445
0.10472,-2.82743,0.000539295
0.10472,-2.61799,0.000498836
0.10472,-2.40855,0.000500592
0.10472,-2.19911,0.000352591
0.10472,-1.98968,0.000342
0.10472,-1.78024,0.000581184
0.10472,-1.5708,0.000440233
0.10472,-1.36136,0.00036071
0.10472,-1.15192,0.000324172
0.10472,-0.942478,0.000311981
0.10472,-0.733038,0.00038836
0.10472,-0.523599,0.000145203
0.10472,-0.314159,0.000270826
0.10472,-0.10472,0.00029816
0.10472,0.10472,0.000285306
0.10472,0.314159,0.000323703
0.10472,0.523599,0.000330655
0.10472,0.733038,0.000317143
0.10472,0.942478,0.000458665
0.10472,1.15192,0.000410042
0.10472,1.36136,0.000438736
0.10472,1.5708,0.00028002
0.10472,1.78024,8.67963e-05
0.10472,1.98968,0.000397266
0.10472,2.19911,0.000386144
0.10472,2.40855,0.000166014
0.10472,2.61799,0.000564729
0.10472,2.82743,0.000431364
0.10472,3.03687,0.00042967
0.314159,-3.03687,0.000416491
0.314159,-2.82743,0.000597339
0.314159,-2.61799,0.000700333
0.314159,-2.40855,0.000755717
0.314159,-2.19911,0.000667224
0.314159,-1.98968,0.000488675
0.314159,-1.78024,0.000261703
0.314159,-1.5708,0.000393546
0.314159,-1.36136,0.000356065
0.314159,-1.15192,0.000391667
0.314159,-0.942478,0.000376272
0.314159,-0.733038,0.000379507
0.314159,-0.523599,0.000357343
0.314159,-0.314159,0.000330109
0.314159,-0.10472,0.000287637
0.314159,0.10472,0.00028922
0.314159,0.314159,0.00037637
0.314159,0.523599,0.000231954
0.314159,0.733038,0.000243632
0.314159,0.942478,0.00027398
0.314159,1.15192,0.000324659
0.314159,1.36136,0.000335374
0.314159,1.5708,0.000512076
0.314159,1.78024,0.000385379
0.314159,1.98968,0.000443773
0.314159,2.19911,0.00040682
0.314159,2.40855,0.000249132
0.314159,2.61799,0.000572934
0.314159,2.82743,0.000343028
0.314159,3.03687,0.000214289
0.523599,-3.03687,0.000329453
0.523599,-2.82743,0.000455657
0.523599,-2.61799,0.000489668
0.523599,-2.40855,0.000734797
0.523599,-2.19911,0.000560726
0.523599,-1.98968,0.00045477
0.523599,-1.78024,0.000322124
0.523599,-1.5708,0.000217436
0.523599,-1.36136,0.000253787
0.523599,-1.15192,0.000251399
0.523599,-0.942478,0.000237889
0.523599,-0.733038,0.000307327
0.523599,-0.523599,0.000303997
0.523599,-0.314159,0.000267049
0.523599,-0.10472,0.000369935
0.523599,0.10472,0.000271257
0.523599,0.314159,0.000461317
0.523599,0.523599,0.000485805
0.523599,0.733038,0.000425853
0.523599,0.942478,0.000337785
0.523599,1.15192,0.000283917
0.523599,1.36136,0.000351143
0.523599,1.5708,0.000414198
0.523599,1.78024,0.000461633
0.523599,1.98968,0.000366013
0.523599,2.19911,0.000490075
0.523599,2.40855,0.000193813
0.523599,2.61799,0.00034746
0.523599,2.82743,0.000220479
0.523599,3.03687,0.000334813
0.733038,-3.03687,0.000251687
0.733038,-2.82743,0.000591342
0.733038,-2.61799,0.000921959
0.733038,-2.40855,0.000684868
0.733038,-2.19911,0.000365484
0.733038,-1.98968,0.000343526
0.733038,-1.78024,0.000417159
0.733038,-1.5708,0.000251469
0.733038,-1.36136,0.000270857
0.733038,-1.15192,8.7671e-05
0.733038,-0.942478,7.0921e-05
0.733038,-0.733038,0.000201424
0.733038,-0.523599,0.000139736
0.733038,-0.314159,0.000303282
0.733038,-0.10472,0.000208856
0.733038,0.10472,0.000363633
0.733038,0.314159,0.000280481
0.733038,0.523599,0.000309405
0.733038,0.733038,0.000411831
0.733038,0.942478,0.000488963
0.733038,1.15192,0.00039311
0.733038,1.36136,0.000483428
0.733038,1.5708,0.000286525
0.733038,1.78024,0.00011304
0.733038,1.98968,0.000283354
0.733038,2.19911,0.000122349
0.733038,2.40855,6.21137e-05
0.733038,2.61799,0.000357397
0.733038,2.82743,0.000126905
0.733038,3.03687,0.000339604
0.942478,-3.03687,0.000557111
0.942478,-2.82743,0.00030553
0.942478,-2.61799,0.000738021
0.942478,-2.40855,0.000562842
0.942478,-2.19911,0.000429133
0.942478,-1.98968,0.000509002
0.942478,-1.78024,0.000284724
0.942478,-1.5708,0.000252033
0.942478,-1.36136,0.000295993
0.942478,-1.15192,0.000119687
0.942478,-0.942478,0.000186392
0.942478,-0.733038,0.000260065
0.942478,-0.523599,0.00026652
0.942478,-0.314159,0.000369322
0.942478,-0.10472,0.000308328
0.942478,0.10472,0.000439456
0.942478,0.314159,0.000329605
0.942478,0.523599,0.000339274
0.942478,0.733038,0.00038527
0.942478,0.942478,0.000398143
0.942478,1.15192,0.000433869
0.942478,1.36136,0.000398685
0.942478,1.5708,0.000319942
0.942478,1.78024,0.000294911
0.942478,1.98968,0.000201337
0.942478,2.19911,0.000243775
0.942478,2.40855,-0.000141041
0.942478,2.61799,-4.40778e-05
0.942478,2.82743,-9.82501e-05
0.942478,3.03687,7.37313e-05
1.15192,-3.03687,0.000445013
1.15192,-2.82743,0.000459414
1.15192,-2.61799,0.000323167
1.15192,-2.40855,3.19266e-05
1.15192,-2.19911,0.000256875
1.15192,-1.98968,0.00036534
1.15192,-1.78024,0.000292434
1.15192,-1.5708,0.000327589
1.15192,-1.36136,0.000352769
1.15192,-1.15192,0.000139387
1.15192,-0.942478,0.000144593
1.15192,-0.733038,0.000224816
1.15192,-0.523599,0.00027434
1.15192,-0.314159,0.000299999
1.15192,-0.10472,0.000444758
1.15192,0.10472,0.000486519
1.15192,0.314159,0.000481019
1.15192,0.523599,0.000440462
1.15192,0.733038,0.000509662
1.15192,0.942478,0.000534399
1.15192,1.15192,0.000477265
1.15192,1.36136,0.000539344
1.15192,1.5708,0.000245678
1.15192,1.78024,0.00040877
1.15192,1.98968,0.000377086
1.15192,2.19911,0.000189005
1.15192,2.40855,-0.000137221
1.15192,2.61799,-4.89884e-05
1.15192,2.82743,-0.000190984
1.15192,3.03687,2.95553e-06
1.36136,-3.03687,-0.000293953
1.36136,-2.82743,0.000123762
1.36136,-2.61799,4.38272e-05
1.36136,-2.40855,0.000259638
1.36136,-2.19911,9.86601e-05
1.36136,-1.98968,0.000373656
1.36136,-1.78024,0.000274261
1.36136,-1.5708,3.26784e-05
1.36136,-1.36136,0.000177332
1.36136,-1.15192,5.33782e-06
1.36136,-0.942478,0.000223312
1.36136,-0.733038,0.000360051
1.36136,-0.523599,0.000296799
1.36136,-0.314159,0.000230616
1.36136,-0.10472,0.000236818
1.36136,0.10472,0.000226895
1.36136,0.314159,0.000363523
1.36136,0.523599,0.000352228
1.36136,0.733038,0.000487353
1.36136,0.942478,0.000618138
1.36136,1.15192,0.000624544
1.36136,1.36136,0.000451839
1.36136,1.5708,0.000557239
1.36136,1.78024,0.00058139
1.36136,1.98968,0.000199781
1.36136,2.19911,0.000362857
1.36136,2.40855,0.000112916
1.36136,2.61799,-9.2728e-05
1.36136,2.82743,-0.000337337
1.36136,3.03687,-0.00052183
1.5708,-3.03687,-0.000693785
1.5708,-2.82743,-0.000676059
1.5708,-2.61799,-0.000576788
