selection,time,C,SE_C,fitted_or_lambda_eff
equilibrium_dt2p5e-4:complex,0.32,0.021840479685638983,0.0030786378742680715,0.02068915639111176
equilibrium_dt2p5e-4:complex,0.33,0.016779326694232488,0.0029332925418381014,0.015975256436423904
equilibrium_dt2p5e-4:complex,0.35000000000000003,0.007881517193091367,0.0028285522391621174,0.007836182516792497
equilibrium_dt2p5e-4:complex,0.38,-0.0019885714296655004,0.003073218852014296,-0.0015116800704326288
equilibrium_dt2p5e-4:complex,0.4,-0.006899323724659315,0.0031824269204964984,-0.006105517967986954
equilibrium_dt2p5e-4:complex,0.42,-0.010286489808037438,0.0033347982699246013,-0.009590612061424706
equilibrium_dt2p5e-4:complex,0.45,-0.01423753733834804,0.0033063424903807806,-0.013084301934276977
equilibrium_dt2p5e-4:complex,0.47000000000000003,-0.015984034182890308,0.0033255924423232462,-0.014465785282000017
equilibrium_dt2p5e-4:complex,0.5,-0.01709006909536071,0.0036685298980994527,-0.015431395409369355
equilibrium_dt2p5e-4:complex,0.53,-0.01727763976626226,0.003635838031681251,-0.01539185780815524
equilibrium_dt2p5e-4:complex,0.56,-0.016269992361383743,0.003660052795449765,-0.014651492059897813
equilibrium_dt2p5e-4:complex,0.6,-0.013784874302134176,0.003702873079292017,-0.012990224338951589
equilibrium_dt2p5e-4:complex,0.63,-0.010461253083695951,0.003854299162307778,-0.011478039448915756
equilibrium_dt2p5e-4:complex,0.67,-0.007695811468313401,0.003391264341095705,-0.009360531478652775
equilibrium_dt2p5e-4:complex,0.71,-0.006196062025779024,0.0032921194039685175,-0.00732043942920923
equilibrium_dt2p5e-4:complex,0.75,-0.00449461495851456,0.0030589657050425576,-0.005486682228138436
equilibrium_dt2p5e-4:complex,0.79,-0.002137278015025435,0.0028122934705677996,-0.003923232938105768
equilibrium_dt2p5e-4:complex,0.84,-4.715477359608844e-06,0.002547245394752125,-0.002374555138806982
equilibrium_dt2p5e-4:complex,0.89,0.0017604523274630858,0.0025637919102934085,-0.0012503844666131943
equilibrium_dt2p5e-4:complex,0.9400000000000001,0.00294965642251008,0.0023951328032490037,-0.0004884586668936119
equilibrium_dt2p5e-4:complex,1.0,0.0038355115657529248,0.0019482734846876112,5.427983762699517e-05
equilibrium_dt2p5e-4:real,0.0,1.0190912283474702,0.020436871294096718,nan
equilibrium_dt2p5e-4:real,0.01,1.008176254211034,0.02038417988155028,nan
equilibrium_dt2p5e-4:real,0.02,0.9987793281259417,0.020314886966688615,-0.9759866978473111
equilibrium_dt2p5e-4:real,0.03,0.9894528428583289,0.02025679026050863,-0.9449903164396615
equilibrium_dt2p5e-4:real,0.04,0.980073029346743,0.02019358448061008,-0.9495560376386323
equilibrium_dt2p5e-4:real,0.05,0.9707788389302301,0.020138330842691246,-0.9531696874334435
equilibrium_dt2p5e-4:real,0.06,0.96155485989649,0.02007927960940802,-0.9515697129917594
equilibrium_dt2p5e-4:real,0.07,0.952438291298398,0.020025988375951206,-0.9479287720471881
equilibrium_dt2p5e-4:real,0.08,0.9434697474419486,0.019968074664756183,-0.9437189844181685
equilibrium_dt2p5e-4:real,0.09,0.9346587834297598,0.01991488190954748,-0.9367374227657796
equilibrium_dt2p5e-4:real,0.1,0.9259339099909474,0.019868753215384404,-0.9288794301862345
equilibrium_dt2p5e-4:real,0.11,0.9174112288520835,0.019807236999824496,-0.9228152947028812
equilibrium_dt2p5e-4:real,0.12,0.9090582039744914,0.019755497564005704,-0.9160886051444861
equilibrium_dt2p5e-4:real,0.13,0.9007870790183432,0.019701238550768788,-0.9115370053956626
equilibrium_dt2p5e-4:real,0.14,0.8926185343156546,0.01964706594884522,-0.9088241898170089
equilibrium_dt2p5e-4:real,0.15,0.8845635342692992,0.019593582872318438,-0.9063997571075082
equilibrium_dt2p5e-4:real,0.16,0.876604705009919,0.01954775484202748,-0.9051188252227808
equilibrium_dt2p5e-4:real,0.17,0.8687131016899234,0.019501605642456683,-0.9052005509216732
equilibrium_dt2p5e-4:real,0.18,0.8608795191919638,0.019459344499106825,-0.9053465784001525
equilibrium_dt2p5e-4:real,0.19,0.8531081435486907,0.019410664052738825,-0.9053983130479258
