case,stream_order,stream_id,observable,mean
equilibrium_dt2p5e-4,5,15,I2,1.718853683033199
equilibrium_dt2p5e-4,5,15,I1_plus_I3,2.9547866910331604
equilibrium_dt2p5e-4,5,15,cos_theta3,-0.19242588465479213
equilibrium_dt2p5e-4,5,15,cos_theta1_plus_cos_theta3,-0.3701154421541422
equilibrium_dt2p5e-4,6,16,I2,1.8170694061290524
equilibrium_dt2p5e-4,6,16,I1_plus_I3,3.0417661026835248
equilibrium_dt2p5e-4,6,16,cos_theta3,-0.2000966725163961
equilibrium_dt2p5e-4,6,16,cos_theta1_plus_cos_theta3,-0.38125067632272136
equilibrium_dt2p5e-4,7,21,I2,1.6835039175512303
equilibrium_dt2p5e-4,7,21,I1_plus_I3,2.9948180031995633
equilibrium_dt2p5e-4,7,21,cos_theta3,-0.17048412672454977
equilibrium_dt2p5e-4,7,21,cos_theta1_plus_cos_theta3,-0.3529777509917906
equilibrium_dt2p5e-4,8,22,I2,1.7446347399204885
equilibrium_dt2p5e-4,8,22,I1_plus_I3,2.974813580295839
equilibrium_dt2p5e-4,8,22,cos_theta3,-0.1878985487084173
equilibrium_dt2p5e-4,8,22,cos_theta1_plus_cos_theta3,-0.35737654200300223
equilibrium_dt2p5e-4,9,25,I2,1.744362678888995
equilibrium_dt2p5e-4,9,25,I1_plus_I3,2.8916725067218287
equilibrium_dt2p5e-4,9,25,cos_theta3,-0.2184229741544763
equilibrium_dt2p5e-4,9,25,cos_theta1_plus_cos_theta3,-0.4196533972397679
equilibrium_dt2p5e-4,10,26,I2,1.7487092968292188
equilibrium_dt2p5e-4,10,26,I1_plus_I3,3.0177798420363615
equilibrium_dt2p5e-4,10,26,cos_theta3,-0.19174367764392716
equilibrium_dt2p5e-4,10,26,cos_theta1_plus_cos_theta3,-0.38801307616568015
equilibrium_dt2p5e-4,11,44,I2,1.6869410642080946
equilibrium_dt2p5e-4,11,44,I1_plus_I3,2.99193171716973
equilibrium_dt2p5e-4,11,44,cos_theta3,-0.16683142865703623
equilibrium_dt2p5e-4,11,44,cos_theta1_plus_cos_theta3,-0.3499246076710587
equilibrium_dt2p5e-4,12,46,I2,1.6893184895566828
equilibrium_dt2p5e-4,12,46,I1_plus_I3,2.9838220779322246
equilibrium_dt2p5e-4,12,46,cos_theta3,-0.21160299402200414
equilibrium_dt2p5e-4,12,46,cos_theta1_plus_cos_theta3,-0.38879538002160263
equilibrium_dt2p5e-4,13,51,I2,1.6534792221560053
equilibrium_dt2p5e-4,13,51,I1_plus_I3,2.9405173726381135
equilibrium_dt2p5e-4,13,51,cos_theta3,-0.202406671665701
equilibrium_dt2p5e-4,13,51,cos_theta1_plus_cos_theta3,-0.37274679126330246
equilibrium_dt2p5e-4,14,52,I2,1.6230198785873802
equilibrium_dt2p5e-4,14,52,I1_plus_I3,2.937025076693974
equilibrium_dt2p5e-4,14,52,cos_theta3,-0.1653663040165703
equilibrium_dt2p5e-4,14,52,cos_theta1_plus_cos_theta3,-0.32369167064752313
equilibrium_dt2p5e-4,15,56,I2,1.6717160168453153
equilibrium_dt2p5e-4,15,56,I1_plus_I3,2.956253044113451
equilibrium_dt2p5e-4,15,56,cos_theta3,-0.14015302958679865
equilibrium_dt2p5e-4,15,56,cos_theta1_plus_cos_theta3,-0.321079528028575
equilibrium_dt2p5e-4,16,57,I2,1.7155201472378256
equilibrium_dt2p5e-4,16,57,I1_plus_I3,2.9475089145192217
equilibrium_dt2p5e-4,16,57,cos_theta3,-0.17036017103206422
equilibrium_dt2p5e-4,16,57,cos_theta1_plus_cos_theta3,-0.3631270471648324
