# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=25 T1=6 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=2000 measure=2000 seed=2026091426 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
phase,checkpoint,absolute_time,j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta,sample_count
measurement,3,3500,10,0.50027254501583229,0.032726899325503545,0.028758901244145818,0.041723345869190215,256
measurement,3,3500,11,0.47922210503406859,0.032712530574749141,0.034983755685971119,0.045995221884451397,256
measurement,3,3500,12,0.46945402049232143,0.028273230704954522,0.031664073510910384,0.0451182827171848,256
measurement,3,3500,13,0.51293184862606722,0.032894487924892864,0.045806592475855723,0.044662027670757845,256
measurement,3,3500,14,0.48093944150241441,0.03304744300483449,0.029937948796941782,0.044253316686464136,256
measurement,3,3500,15,0.50458880950623097,0.034568331315578779,-0.023341525217347225,0.043153195900247909,256
measurement,3,3500,16,0.45338961332981853,0.032637706980584144,0.068739761079541495,0.043462925716951449,256
measurement,3,3500,17,0.50881558915352798,0.034323083022111518,0.032111755203004577,0.044687654630694205,256
measurement,3,3500,18,0.52952690740056596,0.039185345045800235,0.048986774854711257,0.041824914156797725,256
measurement,3,3500,19,0.48801320258516512,0.030814734535063396,-0.021994136881403392,0.043529452715739422,256
measurement,3,3500,20,0.51464184051510387,0.032979616884652917,0.092899189551644668,0.043813878985804862,256
measurement,3,3500,21,0.45750418908028223,0.026873478480801204,0.090886015663272701,0.04412502745949716,256
measurement,3,3500,22,0.49890044644689624,0.037636071942946367,0.0044742053933077841,0.043386128267570483,256
measurement,3,3500,23,0.48074593508817998,0.034436339267962517,0.02952211345473188,0.042658338303784911,256
measurement,3,3500,24,0.47999260901383423,0.033753914186947849,-0.033745060662113247,0.043039019736124805,256
measurement,3,3500,25,0.47655150666059853,0.030781186933337874,,,256
burnin,4,2000,1,0.46265347631469922,0.030415197759470571,-0.04277152433678566,0.043507883196565442,256
burnin,4,2000,2,0.47968878189749375,0.03374502508944955,-0.066933888323546853,0.044478210976940449,256
burnin,4,2000,3,0.54229033203591825,0.034958563695060868,-0.014134756904923051,0.044454600822804669,256
burnin,4,2000,4,0.43641827460578497,0.027067706610434849,-0.036614517017369508,0.04372841056766217,256
burnin,4,2000,5,0.50706356932641938,0.030512289573565655,-0.013501261499186512,0.043251422897227991,256
burnin,4,2000,6,0.50286318823600595,0.033325257772755322,-0.03980757938552415,0.045018633751965229,256
burnin,4,2000,7,0.49063415172713576,0.029553469294431797,0.042019390903078602,0.044876250384195564,256
burnin,4,2000,8,0.47729184292438731,0.032468471974885726,-0.0080749294938868843,0.044650629616581672,256
burnin,4,2000,9,0.48819904283283222,0.033568831894716815,0.012280224644086957,0.043972834604329367,256
burnin,4,2000,10,0.51216207663026125,0.035107086041325106,0.007022042909738957,0.044912846024695391,256
burnin,4,2000,11,0.50366573138626336,0.033751010942587714,-0.058590800064848736,0.044071454856276213,256
burnin,4,2000,12,0.52183664925769335,0.035841771783554049,-0.016573450036958093,0.043231818535768719,256
burnin,4,2000,13,0.53930274846788961,0.036637319325730631,0.018618821817653952,0.045379500347974694,256
burnin,4,2000,14,0.49082216647730093,0.030585947234686141,-0.014444980632106308,0.043186630992944133,256
burnin,4,2000,15,0.44716110422086786,0.030186730111724219,0.032319670477590989,0.045281922032751082,256
burnin,4,2000,16,0.42052595925179048,0.027245368077316208,-0.053890526936356764,0.044389507966102026,256
burnin,4,2000,17,0.5144046795567192,0.037093478393658896,0.026695881631894736,0.043057215783540423,256
burnin,4,2000,18,0.48821384438542736,0.035926788205230889,0.037762571864050187,0.043675846641284148,256
burnin,4,2000,19,0.51460447969202505,0.035698101761134561,-0.068671718250925551,0.046316995019811999,256
burnin,4,2000,20,0.53142748807181306,0.035020794417704969,0.0054671086145390291,0.043948754877537854,256
burnin,4,2000,21,0.57318450298043899,0.049528390280211318,-0.0082522757511469536,0.04299078407078772,256
burnin,4,2000,22,0.47710152536421901,0.030548230479454177,0.032688654220692115,0.044247077775892922,256
burnin,4,2000,23,0.51926738573229159,0.034163699050464416,-0.026842001265322324,0.044501219284843338,256
burnin,4,2000,24,0.43964598502543595,0.034468561636342154,-0.026386549645394552,0.044848241847672304,256
