# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=100 T1=6 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=32000 measure=2000 seed=2026091501 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
j,mean_I_q3,mean_I_q4,mean_delta_I_q4_minus_q3,se_delta_I,relative_delta_I,z_delta_I,mean_sin_q3,mean_sin_q4,mean_delta_sin_q4_minus_q3,se_delta_sin,z_delta_sin,sample_count
56,0.26166653707695747,0.26473048499649954,0.0030639479195421425,0.0068419035964620402,0.011641205368044723,0.44782097209415739,0.0021339585461550847,0.0013656082306633484,-0.00076835031549174037,0.002751119370722096,-0.27928643288570526,256
57,0.26444184192577042,0.26446459485475288,2.2752928982588462e-05,0.0073127081826640681,8.6037633125006147e-05,0.0031114230753153641,0.00032739825800734364,0.0017873182150923497,0.0014599199570850051,0.0028382496477958735,0.51437334211201224,256
58,0.26490027530691268,0.26353302169430942,-0.0013672536126031643,0.0072337212606423933,-0.0051747443636202288,-0.18901110000494334,-6.3609751146943562e-05,0.00042231898057117697,0.0004859287317181218,0.0030733241641946007,0.15811177271157301,256
59,0.26533252085988462,0.2643986279815444,-0.00093389287834021607,0.0078678361468752286,-0.0035259126460006215,-0.11869755049628465,0.00021137147209547626,0.00014679718646244818,-6.4574285633029214e-05,0.002960156410479677,-0.021814484330767273,256
60,0.26532258457805502,0.26651420384290692,0.0011916192648519191,0.0073821975305874169,0.0044811464373868135,0.16141795988451416,0.0016727605492670233,-0.0015821104651751344,-0.0032548710144421566,0.0029834501886487788,-1.0909754842987025,256
61,0.26035186913759373,0.26618121536039269,0.0058293462227990952,0.0065654343378901059,0.02214237393404056,0.88788432307624554,0.0022260852076837474,-0.00081767400785855246,-0.0030437592155422993,0.0027762844917088004,-1.0963426927724069,256
62,0.25939929842624543,0.26449762672637139,0.0050983283001258166,0.0069747964208944201,0.019463096862576995,0.73096446010276916,-0.0013362519785048625,-0.0019073044371044534,-0.00057105245859958881,0.0028051506861817891,-0.20357282815949998,256
63,0.26112570933849022,0.26598738074799461,0.0048616714095041343,0.0070824094710802785,0.018446407425421616,0.68644314189343025,-0.00017413558230853241,3.0652868582127139e-05,0.00020478845089066033,0.0029899230096618315,0.068492884341467525,256
64,0.2635093522476098,0.27037050434798893,0.0068611521003791257,0.0071160156787594027,0.02570298173124852,0.96418451140558625,-2.7592100311091955e-05,0.0011582300329278541,0.0011858221332389479,0.0029419325049548643,0.40307591395851583,256
65,0.26439707227173087,0.27256671433248936,0.008169642060758632,0.0068980376530600601,0.030429024319959318,1.184342920647073,0.0019934148435081954,0.00090687260465807976,-0.0010865422388501172,0.0029604383873822779,-0.36702072351212667,256
66,0.26174205528687822,0.26709208793809786,0.0053500326512192888,0.0061457995187745324,0.020233310272265392,0.87051857693628132,-0.0016430360038738533,0.0015199315746978487,0.003162967578571704,0.0029622561049193743,1.0677562866083763,256
67,0.26016118119750775,0.26967321390247728,0.0095120327049694649,0.0059550864797808523,0.035905682201603575,1.5972954779524056,-0.0034487806160287712,0.0043139385325695074,0.0077627191485982825,0.0028553436633014318,2.7186636930501038,256
68,0.26456984255445232,0.27234352003515089,0.0077736774806986602,0.0065968890901850711,0.028956915667753918,1.1783853532211763,0.00028964150375861619,0.003173254035942456,0.0028836125321838402,0.0030473707609781566,0.94626245322976299,256
