theta1,theta3,pdf,log_pdf
-0.314159,-2.19911,0.0208783,-3.86904
-0.314159,-1.98968,0.019249,-3.9503
-0.314159,-1.78024,0.0177527,-4.03122
-0.314159,-1.5708,0.0164649,-4.10653
-0.314159,-1.36136,0.0154305,-4.17141
-0.314159,-1.15192,0.0146089,-4.22613
-0.314159,-0.942478,0.0139595,-4.27159
-0.314159,-0.733038,0.0134664,-4.30756
-0.314159,-0.523599,0.0131129,-4.33416
-0.314159,-0.314159,0.0128856,-4.35164
-0.314159,-0.10472,0.0127665,-4.36093
-0.314159,0.10472,0.0127666,-4.36092
-0.314159,0.314159,0.0128799,-4.35208
-0.314159,0.523599,0.0131054,-4.33473
-0.314159,0.733038,0.0134795,-4.30659
-0.314159,0.942478,0.0139562,-4.27183
-0.314159,1.15192,0.0145964,-4.22698
-0.314159,1.36136,0.0153955,-4.17368
-0.314159,1.5708,0.0163762,-4.11193
-0.314159,1.78024,0.0175315,-4.04375
-0.314159,1.98968,0.0188916,-3.96904
-0.314159,2.19911,0.0204156,-3.89146
-0.314159,2.40855,0.0220434,-3.81474
-0.314159,2.61799,0.023636,-3.74499
-0.314159,2.82743,0.0249578,-3.69057
-0.314159,3.03687,0.0257681,-3.65862
-0.10472,-3.03687,0.0255525,-3.66702
-0.10472,-2.82743,0.0248999,-3.69289
-0.10472,-2.61799,0.0237251,-3.74122
-0.10472,-2.40855,0.0222279,-3.80641
-0.10472,-2.19911,0.0206622,-3.87945
-0.10472,-1.98968,0.0190453,-3.96093
-0.10472,-1.78024,0.0175564,-4.04234
-0.10472,-1.5708,0.0162841,-4.11756
-0.10472,-1.36136,0.0152645,-4.18223
-0.10472,-1.15192,0.0144725,-4.23551
-0.10472,-0.942478,0.0138188,-4.28172
-0.10472,-0.733038,0.0133268,-4.31798
-0.10472,-0.523599,0.0129892,-4.34364
-0.10472,-0.314159,0.0127763,-4.36016
-0.10472,-0.10472,0.0126495,-4.37013
-0.10472,0.10472,0.0126545,-4.36974
-0.10472,0.314159,0.0127764,-4.36016
-0.10472,0.523599,0.0129993,-4.34286
-0.10472,0.733038,0.0133644,-4.31516
-0.10472,0.942478,0.0138508,-4.27941
-0.10472,1.15192,0.0144735,-4.23543
-0.10472,1.36136,0.0152427,-4.18366
-0.10472,1.5708,0.0162125,-4.12198
-0.10472,1.78024,0.0173627,-4.05343
-0.10472,1.98968,0.0186967,-3.97941
-0.10472,2.19911,0.0202003,-3.90206
-0.10472,2.40855,0.0218194,-3.82495
-0.10472,2.61799,0.023388,-3.75553
-0.10472,2.82743,0.0246875,-3.70146
-0.10472,3.03687,0.0254552,-3.67083
