theta1,theta3,diff
1.36136,-2.40855,0.00129442
1.36136,-2.19911,4.80848e-06
1.36136,-1.98968,-0.00159572
1.36136,-1.78024,-0.00175226
1.36136,-1.5708,-0.00173399
1.36136,-1.36136,-0.00210613
1.36136,-1.15192,-0.00234326
1.36136,-0.942478,-0.00200353
1.36136,-0.733038,-0.00243195
1.36136,-0.523599,-0.00235183
1.36136,-0.314159,-0.00196457
1.36136,-0.10472,-0.00169001
1.36136,0.10472,-0.00148584
1.36136,0.314159,-0.00200967
1.36136,0.523599,-0.00191806
1.36136,0.733038,-0.00192299
1.36136,0.942478,-0.00195577
1.36136,1.15192,-0.0020561
1.36136,1.36136,-0.00150219
1.36136,1.5708,-0.00186007
1.36136,1.78024,-0.00123004
1.36136,1.98968,-0.000946606
1.36136,2.19911,-0.000595515
1.36136,2.40855,-0.000149748
1.36136,2.61799,0.000173408
1.36136,2.82743,0.0011284
1.36136,3.03687,0.00131664
1.5708,-3.03687,0.00243697
1.5708,-2.82743,0.00278735
1.5708,-2.61799,0.00300954
1.5708,-2.40855,0.00253959
1.5708,-2.19911,0.00142852
1.5708,-1.98968,0.000331664
1.5708,-1.78024,-0.00126627
1.5708,-1.5708,-0.00164004
1.5708,-1.36136,-0.00188443
1.5708,-1.15192,-0.00243392
1.5708,-0.942478,-0.00243605
1.5708,-0.733038,-0.00220907
1.5708,-0.523599,-0.0021512
1.5708,-0.314159,-0.00201154
1.5708,-0.10472,-0.00202485
1.5708,0.10472,-0.00169677
1.5708,0.314159,-0.00213667
1.5708,0.523599,-0.00198134
1.5708,0.733038,-0.00234222
1.5708,0.942478,-0.00234516
1.5708,1.15192,-0.00160862
1.5708,1.36136,-0.00168153
1.5708,1.5708,-0.000885268
1.5708,1.78024,-0.000560432
1.5708,1.98968,-0.000255338
1.5708,2.19911,9.64595e-06
1.5708,2.40855,-6.33626e-06
1.5708,2.61799,0.000878929
1.5708,2.82743,0.000910672
1.5708,3.03687,0.00173603
1.78024,-3.03687,0.00277301
1.78024,-2.82743,0.00297161
1.78024,-2.61799,0.00301863
1.78024,-2.40855,0.00320853
1.78024,-2.19911,0.0021352
1.78024,-1.98968,0.00175
1.78024,-1.78024,-6.63092e-05
1.78024,-1.5708,-0.00123279
1.78024,-1.36136,-0.00211219
1.78024,-1.15192,-0.0023914
1.78024,-0.942478,-0.00224151
1.78024,-0.733038,-0.00202144
1.78024,-0.523599,-0.00211616
1.78024,-0.314159,-0.00194502
1.78024,-0.10472,-0.00175519
1.78024,0.10472,-0.00184498
1.78024,0.314159,-0.00219204
1.78024,0.523599,-0.00200227
1.78024,0.733038,-0.00207372
1.78024,0.942478,-0.00226423
1.78024,1.15192,-0.00214267
1.78024,1.36136,-0.00135525
1.78024,1.5708,-0.000849601
1.78024,1.78024,0.000935276
1.78024,1.98968,0.0016203
1.78024,2.19911,0.00183635
1.78024,2.40855,0.00199096
1.78024,2.61799,0.00188474
1.78024,2.82743,0.00101261
1.78024,3.03687,0.0020412
1.98968,-3.03687,0.00288091
1.98968,-2.82743,0.00376875
1.98968,-2.61799,0.00310919
1.98968,-2.40855,0.00328761
1.98968,-2.19911,0.00326195
1.98968,-1.98968,0.00285288
1.98968,-1.78024,0.00054557
1.98968,-1.5708,-5.75979e-05
1.98968,-1.36136,-0.00136909
1.98968,-1.15192,-0.00215628
1.98968,-0.942478,-0.00207246
1.98968,-0.733038,-0.00183373
1.98968,-0.523599,-0.00219079
1.98968,-0.314159,-0.00224969
1.98968,-0.10472,-0.00211627
1.98968,0.10472,-0.00209078
1.98968,0.314159,-0.00226382
1.98968,0.523599,-0.00204346
1.98968,0.733038,-0.00185832
1.98968,0.942478,-0.00201197
1.98968,1.15192,-0.00146176
1.98968,1.36136,-0.000850803
1.98968,1.5708,-8.44237e-05
1.98968,1.78024,0.00214751
1.98968,1.98968,0.00404659
1.98968,2.19911,0.00473814
1.98968,2.40855,0.00434053
1.98968,2.61799,0.00347634
1.98968,2.82743,0.00286413
1.98968,3.03687,0.0021064
2.19911,-3.03687,0.00247995
2.19911,-2.82743,0.00340107
2.19911,-2.61799,0.00370797
2.19911,-2.40855,0.00343216
2.19911,-2.19911,0.00367344
2.19911,-1.98968,0.00324895
2.19911,-1.78024,0.00259103
2.19911,-1.5708,0.00078426
2.19911,-1.36136,-1.52112e-05
2.19911,-1.15192,-0.00176447
2.19911,-0.942478,-0.00161349
2.19911,-0.733038,-0.00184235
2.19911,-0.523599,-0.0020712
2.19911,-0.314159,-0.00224761
2.19911,-0.10472,-0.00207416
2.19911,0.10472,-0.00184797
2.19911,0.314159,-0.00180346
2.19911,0.523599,-0.00191991
2.19911,0.733038,-0.00155542
2.19911,0.942478,-0.00126813
2.19911,1.15192,-0.000410572
2.19911,1.36136,-0.000505288
2.19911,1.5708,0.000441383
2.19911,1.78024,0.00206966
2.19911,1.98968,0.00464671
2.19911,2.19911,0.00740824
2.19911,2.40855,0.0075364
2.19911,2.61799,0.00491323
2.19911,2.82743,0.00329383
2.19911,3.03687,0.00359585
2.40855,-3.03687,0.00303972
2.40855,-2.82743,0.00217687
2.40855,-2.61799,0.00273752
