case,delta_beta,t,k,Q_center,count_plus,count_minus,log_ratio,log_ratio_se
dbeta_0p057143,0.05714285714285716,80,26,67.51868854429966,4846,102,3.8609360880922,0.10005137343361699
dbeta_0p057143,0.05714285714285716,80,27,70.11556118061888,4895,93,3.963370061811355,0.10467558580668919
dbeta_0p057143,0.05714285714285716,80,28,72.7124338169381,4989,77,4.171185346007354,0.11483664030764433
dbeta_0p057143,0.05714285714285716,80,29,75.30930645325732,4991,64,4.356508486109937,0.1257988896976778
dbeta_0p057143,0.05714285714285716,80,30,77.90617908957654,5038,64,4.365881373552884,0.1257914602223339
dbeta_0p057143,0.05714285714285716,80,31,80.50305172589576,4832,49,4.591195441504024,0.1435796535296357
dbeta_0p057143,0.05714285714285716,80,32,83.09992436221498,4712,48,4.586666714423532,0.14507087041164424
dbeta_0p057143,0.05714285714285716,80,33,85.6967969985342,4808,36,4.894517537758934,0.1672894631070041
dbeta_0p057143,0.05714285714285716,80,34,88.29366963485342,4659,40,4.75767665770286,0.15879117838975354
dbeta_0p057143,0.05714285714285716,80,35,90.89054227117263,4563,33,4.929228019460922,0.17470599408245333
dbeta_0p057143,0.05714285714285716,80,36,93.48741490749185,4371,15,5.674696893761104,0.25864154203466977
dbeta_0p057143,0.05714285714285716,80,37,96.08428754381107,4311,27,5.073088308742806,0.19305181112436204
dbeta_0p057143,0.05714285714285716,80,38,98.68116018013029,4249,15,5.646388739012601,0.2586542405619232
dbeta_0p057143,0.05714285714285716,80,39,101.27803281644951,4042,15,5.596444696861356,0.2586775385354662
dbeta_0p057143,0.05714285714285716,160,1,3.6675970464350307,410,337,0.1960742293459918,0.07352811326757275
dbeta_0p057143,0.05714285714285716,160,2,7.335194092870061,479,323,0.3940482741882587,0.07199762429713888
dbeta_0p057143,0.05714285714285716,160,3,11.002791139305092,505,250,0.7030975114131134,0.07733174005414582
dbeta_0p057143,0.05714285714285716,160,4,14.670388185740123,535,261,0.7177463395733131,0.07550216224073153
dbeta_0p057143,0.05714285714285716,160,5,18.337985232175154,609,211,1.0599601342338305,0.07988349402527246
dbeta_0p057143,0.05714285714285716,160,6,22.005582278610184,657,184,1.2727482608756249,0.08340774918385192
dbeta_0p057143,0.05714285714285716,160,7,25.673179325045215,723,166,1.4714214338022213,0.08606522090830787
dbeta_0p057143,0.05714285714285716,160,8,29.340776371480246,747,129,1.7562527807711452,0.09534477473974208
dbeta_0p057143,0.05714285714285716,160,9,33.00837341791528,853,136,1.8361046617556271,0.09233241098891697
dbeta_0p057143,0.05714285714285716,160,10,36.67597046435031,842,108,2.053648787118107,0.10221011552344644
dbeta_0p057143,0.05714285714285716,160,11,40.343567510785334,951,106,2.194074968433323,0.10239866686134956
dbeta_0p057143,0.05714285714285716,160,12,44.01116455722037,1029,80,2.554316101160168,0.11606815798636554
dbeta_0p057143,0.05714285714285716,160,13,47.6787616036554,1102,87,2.538973871058276,0.11136289278703726
dbeta_0p057143,0.05714285714285716,160,14,51.34635865009043,1181,59,2.996579372291643,0.13340124659528968
dbeta_0p057143,0.05714285714285716,160,15,55.01395569652546,1269,76,2.8152511274280565,0.118092831287339
