timestep,marginal,bin,center,left,right,target_density,reconstructed_density,seed_min_density,seed_max_density
coarse,log_I2,68,1.8397271568172595,1.7790726620691766,1.9003816515653424,0.09350929587338855,0.09776500026454493,0.09728279244268123,0.09838396006532169
coarse,log_I2,69,1.9610361463134245,1.9003816515653424,2.0216906410615065,0.05666776386685076,0.061077285924359036,0.0607312663915236,0.06152663007115414
coarse,log_I2,70,2.0823451358095895,2.0216906410615065,2.1429996305576724,0.03230635567812215,0.03531475116692736,0.03510999278038763,0.03559335998651767
coarse,log_I2,71,2.2036541253057553,2.1429996305576724,2.2643086200538387,0.015270405895794977,0.016889762697719277,0.016798616927564246,0.017031017225613777
coarse,log_I3,0,-6.28821296060072,-6.348039588177033,-6.2283863330244085,0.0009734952181394885,0.0010536602673714114,0.0010513699176990699,0.0010571431127316341
coarse,log_I3,1,-6.1685597054480965,-6.2283863330244085,-6.108733077871784,0.0012273367131919897,0.0012299495266185473,0.001227764108850027,0.001233359958274867
coarse,log_I3,2,-6.048906450295471,-6.108733077871784,-5.989079822719159,0.0013398643862565004,0.0012444317053081017,0.001242228213335544,0.0012475379739462092
coarse,log_I3,3,-5.929253195142847,-5.989079822719159,-5.869426567566534,0.0015989397265678159,0.0014978840136147147,0.001495868129543618,0.0015016779330238675
coarse,log_I3,4,-5.809599939990221,-5.869426567566534,-5.749773312413909,0.0016826812507088472,0.0016361645976654107,0.0016331877609055462,0.0016408831442137788
coarse,log_I3,5,-5.689946684837597,-5.749773312413909,-5.630120057261284,0.002143259633484519,0.0018558403005215255,0.0018521911682746353,0.00186175189379489
coarse,log_I3,6,-5.5702934296849715,-5.630120057261284,-5.51046680210866,0.0022243842349961435,0.0021317083657474145,0.0021280259069803675,0.0021374332791043896
coarse,log_I3,7,-5.450640174532348,-5.51046680210866,-5.390813546956036,0.0024991611110839205,0.0024723612701187518,0.002468544924938102,0.0024795148391101728
coarse,log_I3,8,-5.330986919379723,-5.390813546956036,-5.27116029180341,0.0026012210936307645,0.002809290759422373,0.0028050781454725085,0.00281748253753209
coarse,log_I3,9,-5.211333664227098,-5.27116029180341,-5.151507036650786,0.003124605619512253,0.0031375774348499376,0.0031323027394902963,0.0031453994708285533
coarse,log_I3,10,-5.091680409074474,-5.151507036650786,-5.031853781498161,0.0035066763234056844,0.003535581099888295,0.003529568937582272,0.0035452312626485945
coarse,log_I3,11,-4.972027153921848,-5.031853781498161,-4.912200526345536,0.003998657777734243,0.0038100258922880888,0.0038023097876441667,0.0038203059271308655
coarse,log_I3,12,-4.852373898769224,-4.912200526345536,-4.792547271192912,0.0045141915357274675,0.004443111476662835,0.004436864575386231,0.004454168523355883
coarse,log_I3,13,-4.732720643616599,-4.792547271192912,-4.672894016040287,0.004956451460097288,0.00515641016583416,0.0051500117387398795,0.005169153895657185
coarse,log_I3,14,-4.613067388463975,-4.672894016040287,-4.553240760887662,0.005678722105813684,0.005582621438718478,0.005573981024279295,0.005597002787998396
coarse,log_I3,15,-4.493414133311349,-4.553240760887662,-4.433587505735037,0.006225658935359794,0.006359079049525287,0.006349230843812449,0.0063748683890257766
coarse,log_I3,16,-4.373760878158725,-4.433587505735037,-4.313934250582412,0.0073116818265637935,0.007215681575390969,0.0072030646080657006,0.007234652519445446
coarse,log_I3,17,-4.2541076230060995,-4.313934250582412,-4.1942809954297875,0.00808890784749774,0.008375594963055238,0.00836250731597967,0.008397583033472133
