timestep,i,j,theta1,theta3,target_density,reconstructed_density,difference
fine,2,37,-2.879793265790644,0.7853981633974481,0.024934260694374547,0.02552932639936018,0.0005950657049856312
fine,2,38,-2.879793265790644,0.890117918517108,0.02581764593040382,0.02550962542996811,-0.00030802050043570936
fine,2,39,-2.879793265790644,0.9948376736367677,0.027840883083890332,0.02666999694655829,-0.001170886137332041
fine,2,40,-2.879793265790644,1.0995574287564271,0.027926371977699614,0.027318525106101537,-0.0006078468715980771
fine,2,41,-2.879793265790644,1.204277183876087,0.028068853467381517,0.028969866581356734,0.0009010131139752173
fine,2,42,-2.879793265790644,1.308996938995747,0.028239831255000323,0.028563986008908138,0.00032415475390781476
fine,2,43,-2.879793265790644,1.4137166941154065,0.028781260915792455,0.031503642431207894,0.002722381515415439
fine,2,44,-2.879793265790644,1.5184364492350664,0.030320061004359324,0.03324411827229695,0.0029240572679376277
fine,2,45,-2.879793265790644,1.6231562043547263,0.03222931296610027,0.033698713780656676,0.0014694008145564041
fine,2,46,-2.879793265790644,1.7278759594743858,0.03416706122577738,0.03597654577250165,0.0018094845467242701
fine,2,47,-2.879793265790644,1.8325957145940457,0.03496495756799708,0.03490249464383007,-6.246292416700605e-05
fine,2,48,-2.879793265790644,1.9373154697137056,0.0381280466389409,0.035403941964673606,-0.002724104674267293
fine,2,49,-2.879793265790644,2.042035224833365,0.03884045408735161,0.04103146160771159,0.002191007520359979
fine,2,50,-2.879793265790644,2.146754979953025,0.04043624677179124,0.040234543057964166,-0.00020170371382707136
fine,2,51,-2.879793265790644,2.251474735072685,0.04100617273052015,0.04320111512261593,0.002194942392095778
fine,2,52,-2.879793265790644,2.3561944901923444,0.044568209972573665,0.0458918846690228,0.0013236746964491383
fine,2,53,-2.879793265790644,2.4609142453120043,0.04992551398462174,0.04644384905681753,-0.003481664927804211
fine,2,54,-2.879793265790644,2.5656340004316642,0.05280364007620141,0.05174339991075144,-0.0010602401654499702
fine,2,55,-2.879793265790644,2.6703537555513237,0.053003114161756404,0.051671026829285684,-0.0013320873324707203
fine,2,56,-2.879793265790644,2.7750735106709836,0.05573875876365304,0.05443832791973648,-0.0013004308439165599
fine,2,57,-2.879793265790644,2.8797932657906435,0.057420040341902776,0.05537804537390465,-0.0020419949679981245
fine,2,58,-2.879793265790644,2.984513020910303,0.059044329324279186,0.058862103300356294,-0.00018222602392289206
fine,2,59,-2.879793265790644,3.089232776029963,0.05853139596142298,0.05788074173323287,-0.0006506542281901131
fine,3,0,-2.7750735106709836,-3.089232776029963,0.05855989225935966,0.054843081822416935,-0.003716810436942726
fine,3,1,-2.7750735106709836,-2.9845130209103035,0.05454191425032353,0.0554147346714736,0.0008728204211500695
