I1_I2_I3,theta1,theta3,log_density,density
1.0,-3.141592653589793,1.5707963267948966,-6.747309367981887,0.001174034269083909
1.0,-3.141592653589793,1.6231562043547259,-6.7354287191067135,0.0011880657444738427
1.0,-3.141592653589793,1.675516081914556,-6.7236374031982455,0.001202157520004852
1.0,-3.141592653589793,1.7278759594743862,-6.711973291234078,0.0012162617164723983
1.0,-3.141592653589793,1.7802358370342155,-6.700474296721259,0.0012303282236233563
1.0,-3.141592653589793,1.8325957145940457,-6.68917825708799,0.001244304851652992
1.0,-3.141592653589793,1.8849555921538759,-6.678122792383655,0.0012581375425453644
1.0,-3.141592653589793,1.9373154697137052,-6.667345134262585,0.0012717706533861976
1.0,-3.141592653589793,1.9896753472735353,-6.656881917897859,0.0012851473243618392
1.0,-3.141592653589793,2.0420352248333655,-6.646768930747827,0.0012982099424547644
1.0,-3.141592653589793,2.094395102393195,-6.637040815194456,0.0013109007073173321
1.0,-3.141592653589793,2.146754979953025,-6.627730726860912,0.0013231622983797854
1.0,-3.141592653589793,2.199114857512855,-6.618869956406817,0.0013349386324258705
1.0,-3.141592653589793,2.2514747350726845,-6.610487529001559,0.0013461756897134767
1.0,-3.141592653589793,2.3038346126325147,-6.602609801519601,0.0013568223757255673
1.0,-3.141592653589793,2.356194490192345,-6.5952600818120235,0.001366831376499447
1.0,-3.141592653589793,2.408554367752174,-6.588458296383527,0.0013761599597852722
1.0,-3.141592653589793,2.4609142453120043,-6.582220731961976,0.001384770673210426
1.0,-3.141592653589793,2.5132741228718345,-6.5765598727062065,0.0013926318947343598
1.0,-3.141592653589793,2.565634000431664,-6.571484348477685,0.0013997181998015385
1.0,-3.141592653589793,2.617993877991494,-6.566999001356126,0.0014060105228773563
1.0,-3.141592653589793,2.670353755551324,-6.5631050682816925,0.001411496107072895
1.0,-3.141592653589793,2.7227136331111534,-6.5598004683244335,0.0014161682525821243
1.0,-3.141592653589793,2.7750735106709836,-6.557080174565876,0.0014200258908164199
1.0,-3.141592653589793,2.827433388230814,-6.554936643775982,0.001423073024681734
1.0,-3.141592653589793,2.879793265790643,-6.553360272667173,0.0014253180849427304
1.0,-3.141592653589793,2.9321531433504733,-6.552339847985287,0.001426773257016626
1.0,-3.141592653589793,2.9845130209103035,-6.551862959290334,0.001427453831319356
1.0,-3.141592653589793,3.0368728984701328,-6.55191634794311,0.0014273776235167357
1.0,-3.141592653589793,3.089232776029963,-6.552486173196094,0.0014265644993926437
1.0,-3.141592653589793,3.141592653589793,-6.5535581857266925,0.0014250360237924643
1.0,-3.0892327760299634,-3.141592653589793,-6.554213456899207,0.0014241025446406687
1.0,-3.0892327760299634,-3.0892327760299634,-6.555716502881872,0.001421963660855056
1.0,-3.0892327760299634,-3.036872898470133,-6.557716530495363,0.001419122536378735
1.0,-3.0892327760299634,-2.9845130209103035,-6.5601979484200035,0.0014156054657454373
1.0,-3.0892327760299634,-2.9321531433504737,-6.563144475206675,0.001411440485447636
1.0,-3.0892327760299634,-2.8797932657906435,-6.566539072296591,0.0014066573367076762
1.0,-3.0892327760299634,-2.827433388230814,-6.570363906918454,0.0014012873811676556
1.0,-3.0892327760299634,-2.775073510670984,-6.574600372458937,0.001395363432627025
1.0,-3.0892327760299634,-2.722713633111154,-6.579229188343466,0.0013889194776516081
1.0,-3.0892327760299634,-2.670353755551324,-6.58423059323978,0.00138199027130273
1.0,-3.0892327760299634,-2.6179938779914944,-6.589584635309634,0.0013746108098517287
1.0,-3.0892327760299634,-2.5656340004316647,-6.5952715522738545,0.0013668156984022312
1.0,-3.0892327760299634,-2.5132741228718345,-6.601272223276968,0.0013586384461118097
1.0,-3.0892327760299634,-2.4609142453120048,-6.607568664930283,0.0013501107337032625
1.0,-3.0892327760299634,-2.408554367752175,-6.614144536293661,0.001341261706113186
