event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_action_current,weight_ess,max_weight_fraction,unique_parents,parent_count_ess,unique_roots,root_count_ess
180,90,0,0,0,1.1224029836967226,1.1224029836967226,0.32842007161108605,256,0.00390625,256,256,256,256
181,90.5,0,0,0,0.85644662041641495,0.85644662041641495,0.38977128979388909,256,0.00390625,256,256,256,256
182,91,0,0,0,1.4268025585060962,1.4268025585060962,0.75222645575925717,256,0.00390625,256,256,256,256
183,91.5,0,0,0,1.0905053698414287,1.0905053698414287,0.53872556352639034,256,0.00390625,256,256,256,256
184,92,0,0,0,1.3893792786316221,1.3893792786316221,0.29557751541803079,256,0.00390625,256,256,256,256
185,92.5,0,0,0,1.2152591866020024,1.2152591866020024,0.68778277701772772,256,0.00390625,256,256,256,256
186,93,0,0,0,1.5598052329574639,1.5598052329574639,0.16955215689327074,256,0.00390625,256,256,256,256
187,93.5,0,0,0,1.2970640912212972,1.2970640912212972,0.37644499232713069,256,0.00390625,256,256,256,256
188,94,0,0,0,1.0844543711488566,1.0844543711488566,0.49741761575342708,256,0.00390625,256,256,256,256
189,94.5,0,0,0,1.1213664691192231,1.1213664691192231,0.42708942332750383,256,0.00390625,256,256,256,256
190,95,0,0,0,1.6097905256975906,1.6097905256975906,0.33783088903960029,256,0.00390625,256,256,256,256
191,95.5,0,0,0,1.1912908153685449,1.1912908153685449,0.69743998095244542,256,0.00390625,256,256,256,256
192,96,0,0,0,1.2468411228108076,1.2468411228108076,0.31627886753865786,256,0.00390625,256,256,256,256
193,96.5,0,0,0,1.4235877887376815,1.4235877887376815,0.16392012304870823,256,0.00390625,256,256,256,256
194,97,0,0,0,1.3416043401876121,1.3416043401876121,0.29738056502022164,256,0.00390625,256,256,256,256
195,97.5,0,0,0,1.1555826666821338,1.1555826666821338,0.24120246243363147,256,0.00390625,256,256,256,256
196,98,0,0,0,1.2235399160594214,1.2235399160594214,0.15935345818717797,256,0.00390625,256,256,256,256
197,98.5,0,0,0,1.5236219950876906,1.5236219950876906,0.45041059970891018,256,0.00390625,256,256,256,256
198,99,0,0,0,0.91752850491924742,0.91752850491924742,0.27220632459431077,256,0.00390625,256,256,256,256
199,99.5,0,0,0,1.2483493539095272,1.2483493539095272,0.59662569713518776,256,0.00390625,256,256,256,256
200,100,0,0,0,0.99856599048657313,0.99856599048657313,0.48319232324923866,256,0.00390625,256,256,256,256
