case,source,sector,angle,metric,estimate,ci_low,ci_high,seed_min,seed_max
driven,legacy_density,low,theta3,circular_resultant,0.173472425236119,0.16678746748831094,0.18012205823105185,,
driven,legacy_density,low,theta3,histogram_mode,3.097959422289935,3.0106929596902186,-3.0106929596902186,,
driven,legacy_density,low,theta3,prob_within_pi_over_6_of_theta0,0.1851853769041858,0.18278851429784249,0.1875194260390783,,
driven,legacy_density,low,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.19145695867576004,0.18937487680207066,0.19349018395186895,,
driven,legacy_density,low,joint,prob_both_within_pi_over_6_of_theta0,0.037500404221305184,0.03665254719465116,0.0383967749939219,,
driven,legacy_density,middle,theta1,circular_mean,2.9181893391973905,2.894357556569979,2.938946920340877,,
driven,legacy_density,middle,theta1,circular_resultant,0.19316585959815746,0.1882987777810702,0.19799629323004656,,
driven,legacy_density,middle,theta1,histogram_mode,2.923426497090502,2.836160034490785,3.097959422289935,,
driven,legacy_density,middle,theta1,prob_within_pi_over_6_of_theta0,0.21150286470096752,0.2094152785470777,0.21366223568681872,,
driven,legacy_density,middle,theta3,circular_mean,-2.89834113221418,-2.915586706688695,-2.881864435972333,,
driven,legacy_density,middle,theta3,circular_resultant,0.16937216366877242,0.16206044997255922,0.176158631173903,,
driven,legacy_density,middle,theta3,histogram_mode,-2.923426497090502,3.097959422289935,-2.748893571891069,,
driven,legacy_density,middle,theta3,prob_within_pi_over_6_of_theta0,0.17589907893298587,0.17427573189158582,0.17761068147312442,,
driven,legacy_density,middle,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.20103763116736462,0.19861176705287756,0.20368665019730534,,
driven,legacy_density,middle,joint,prob_both_within_pi_over_6_of_theta0,0.03769484449401581,0.03699769657887482,0.03842866414019322,,
driven,legacy_density,high,theta1,circular_mean,2.8121727318585066,2.761687579865865,2.8634166071521623,,
driven,legacy_density,high,theta1,circular_resultant,0.21102428059221962,0.18390585688960978,0.22948100539405425,,
driven,legacy_density,high,theta1,histogram_mode,3.097959422289935,2.574360646691636,-0.5672320068981573,,
driven,legacy_density,high,theta1,prob_within_pi_over_6_of_theta0,0.22300844173602477,0.21677071885400545,0.2276698933520606,,
driven,legacy_density,high,theta3,circular_mean,-2.8052494148743246,-2.9376378947914676,-2.719124715563167,,
