case,source,sector,angle,bin,theta,density
equilibrium,legacy_density,low,theta1,38,0.21816615649929116,0.11855214804810937
equilibrium,legacy_density,low,theta1,39,0.30543261909900776,0.12201314790760304
equilibrium,legacy_density,low,theta1,40,0.39269908169872414,0.12115710155248464
equilibrium,legacy_density,low,theta1,41,0.4799655442984405,0.11782962375236883
equilibrium,legacy_density,low,theta1,42,0.5672320068981569,0.12319259011549984
equilibrium,legacy_density,low,theta1,43,0.6544984694978735,0.127184110542756
equilibrium,legacy_density,low,theta1,44,0.7417649320975901,0.12444937168820035
equilibrium,legacy_density,low,theta1,45,0.8290313946973065,0.12609197327253857
equilibrium,legacy_density,low,theta1,46,0.9162978572970228,0.12670236585248204
equilibrium,legacy_density,low,theta1,47,1.0035643198967392,0.1273227335449246
equilibrium,legacy_density,low,theta1,48,1.0908307824964556,0.12992450729410474
equilibrium,legacy_density,low,theta1,49,1.178097245096172,0.13134926211292045
equilibrium,legacy_density,low,theta1,50,1.2653637076958888,0.13709632887183876
equilibrium,legacy_density,low,theta1,51,1.3526301702956056,0.13840429386016992
equilibrium,legacy_density,low,theta1,52,1.439896632895322,0.14397151495054614
equilibrium,legacy_density,low,theta1,53,1.5271630954950384,0.14437920539860088
equilibrium,legacy_density,low,theta1,54,1.6144295580947547,0.1504852145817392
equilibrium,legacy_density,low,theta1,55,1.7016960206944711,0.15253285283882997
equilibrium,legacy_density,low,theta1,56,1.7889624832941875,0.16103805596652515
equilibrium,legacy_density,low,theta1,57,1.8762289458939039,0.16435199852278568
equilibrium,legacy_density,low,theta1,58,1.9634954084936203,0.1708483409439037
equilibrium,legacy_density,low,theta1,59,2.050761871093337,0.17200516376833963
equilibrium,legacy_density,low,theta1,60,2.138028333693054,0.178465521062728
equilibrium,legacy_density,low,theta1,61,2.2252947962927703,0.1881190113374454
equilibrium,legacy_density,low,theta1,62,2.3125612588924866,0.18943989448047585
equilibrium,legacy_density,low,theta1,63,2.399827721492203,0.19578887535092843
equilibrium,legacy_density,low,theta1,64,2.4870941840919194,0.20068270619643502
equilibrium,legacy_density,low,theta1,65,2.574360646691636,0.20407406298423622
equilibrium,legacy_density,low,theta1,66,2.661627109291352,0.20978301084158177
equilibrium,legacy_density,low,theta1,67,2.7488935718910685,0.21849824613918903
equilibrium,legacy_density,low,theta1,68,2.8361600344907854,0.2196192647461619
equilibrium,legacy_density,low,theta1,69,2.923426497090502,0.22641603846473649
equilibrium,legacy_density,low,theta1,70,3.0106929596902186,0.22547128610572242
equilibrium,legacy_density,low,theta1,71,3.097959422289935,0.2245657351475049
equilibrium,legacy_density,low,theta3,0,-3.097959422289935,0.23205449443230522
equilibrium,legacy_density,low,theta3,1,-3.0106929596902186,0.23025139907567624
equilibrium,legacy_density,low,theta3,2,-2.923426497090502,0.2275108759303722
equilibrium,legacy_density,low,theta3,3,-2.8361600344907854,0.22301055926397245
equilibrium,legacy_density,low,theta3,4,-2.748893571891069,0.22059152205099922
equilibrium,legacy_density,low,theta3,5,-2.6616271092913526,0.21635762295285307
equilibrium,legacy_density,low,theta3,6,-2.574360646691636,0.21085976128223488
equilibrium,legacy_density,low,theta3,7,-2.4870941840919194,0.2076342402484567
equilibrium,legacy_density,low,theta3,8,-2.399827721492203,0.1947596626647375
equilibrium,legacy_density,low,theta3,9,-2.3125612588924866,0.19335097996540648
equilibrium,legacy_density,low,theta3,10,-2.2252947962927703,0.19119087971164292
equilibrium,legacy_density,low,theta3,11,-2.138028333693054,0.18275435672733478
equilibrium,legacy_density,low,theta3,12,-2.0507618710933375,0.17727337111295735
equilibrium,legacy_density,low,theta3,13,-1.9634954084936207,0.16861054399396425
equilibrium,legacy_density,low,theta3,14,-1.8762289458939043,0.1655317817189605
equilibrium,legacy_density,low,theta3,15,-1.7889624832941877,0.15992265546616932
equilibrium,legacy_density,low,theta3,16,-1.7016960206944713,0.1598909845138509
equilibrium,legacy_density,low,theta3,17,-1.6144295580947547,0.1539577915620307
equilibrium,legacy_density,low,theta3,18,-1.5271630954950384,0.14422426758228074
equilibrium,legacy_density,low,theta3,19,-1.439896632895322,0.14590263763244213
equilibrium,legacy_density,low,theta3,20,-1.3526301702956054,0.14268058349893648
equilibrium,legacy_density,low,theta3,21,-1.2653637076958888,0.1377114805178679
equilibrium,legacy_density,low,theta3,22,-1.1780972450961724,0.13627457619022404
equilibrium,legacy_density,low,theta3,23,-1.090830782496456,0.1320444377717068
equilibrium,legacy_density,low,theta3,24,-1.0035643198967397,0.13068168615996897
equilibrium,legacy_density,low,theta3,25,-0.9162978572970231,0.12628396409672502
equilibrium,legacy_density,low,theta3,26,-0.8290313946973065,0.12283378248269242
equilibrium,legacy_density,low,theta3,27,-0.7417649320975901,0.12441199549258886
equilibrium,legacy_density,low,theta3,28,-0.6544984694978737,0.11984590697218406
equilibrium,legacy_density,low,theta3,29,-0.5672320068981571,0.11947626785799322
equilibrium,legacy_density,low,theta3,30,-0.4799655442984405,0.12297164882383003
equilibrium,legacy_density,low,theta3,31,-0.39269908169872414,0.1169575247570833
equilibrium,legacy_density,low,theta3,32,-0.30543261909900776,0.11820908541740198
equilibrium,legacy_density,low,theta3,33,-0.21816615649929139,0.11496471403726273
equilibrium,legacy_density,low,theta3,34,-0.1308996938995748,0.11575210019736556
equilibrium,legacy_density,low,theta3,35,-0.04363323129985819,0.11769391394900588
equilibrium,legacy_density,low,theta3,36,0.04363323129985819,0.11427227423732983
equilibrium,legacy_density,low,theta3,37,0.13089969389957457,0.11448886386861708
