case,selection,tau,inverse_tau,a_observed,a_predicted_linear,residual,bootstrap_se,standardized_residual,affinity,dt
weak_dt1p25e4,all_admissible,640,0.0015625,0.025095078662409412,0.027771773721282197,-0.002676695058872785,0.0015714448483461255,-1.7033337579043166,weak,0.000125
weak_dt1p25e4,tau_ge_10,10,0.1,0.02652907972588664,0.026547291608795247,-1.821188290860795e-05,0.00012243208549647498,-0.14875090001740027,weak,0.000125
weak_dt1p25e4,tau_ge_10,20,0.05,0.02709515909602477,0.027180868754094367,-8.57096580695986e-05,0.00014855518570564162,-0.5769550060637407,weak,0.000125
weak_dt1p25e4,tau_ge_10,25,0.04,0.027460923408609783,0.02730758418315419,0.00015333922545559403,0.00015186068917985002,1.009736135689421,weak,0.000125
weak_dt1p25e4,tau_ge_10,40,0.025,0.02758432474867799,0.027497657326743925,8.666742193406615e-05,0.00016177268881990343,0.5357358066203025,weak,0.000125
weak_dt1p25e4,tau_ge_10,80,0.0125,0.027579450507162078,0.027656051613068704,-7.660110590662628e-05,0.00020025111965553576,-0.38252523151127715,weak,0.000125
weak_dt1p25e4,tau_ge_10,160,0.00625,0.027680430226846905,0.027735248756231092,-5.481852938418741e-05,0.0003197311790723082,-0.17145193516391477,weak,0.000125
weak_dt1p25e4,tau_ge_10,320,0.003125,0.027482161608075352,0.02777484732781229,-0.0002926857197369376,0.0004704644894008952,-0.622120747327079,weak,0.000125
weak_dt1p25e4,tau_ge_10,640,0.0015625,0.025095078662409412,0.027794646613602886,-0.0026995679511934746,0.0015714448483461255,-1.7178890840710366,weak,0.000125
moderate_dt5e4,all_admissible,5,0.2,0.09594196561402853,0.09578744147081336,0.00015452414321516506,0.00016028477726922296,0.9640600052468986,moderate,0.0005
moderate_dt5e4,all_admissible,10,0.1,0.10681800458074688,0.10758443383995872,-0.0007664292592118455,0.000226194058969177,-3.388370422745211,moderate,0.0005
moderate_dt5e4,all_admissible,20,0.05,0.11336899308909201,0.11348293002453139,-0.00011393693543937378,0.0003663143980588619,-0.31103591898963695,moderate,0.0005
moderate_dt5e4,all_admissible,25,0.04,0.1162790925689311,0.11466262926144592,0.0016164633074851747,0.0005052925353016372,3.1990642935586173,moderate,0.0005
moderate_dt5e4,all_admissible,40,0.025,0.11966113186895713,0.11643217811681773,0.003228953752139399,0.0009954899323322496,3.243582528830357,moderate,0.0005
moderate_dt5e4,all_admissible,80,0.0125,0.1246027986997101,0.1179068021629609,0.006695996536749196,0.005455737230571251,1.2273312026884555,moderate,0.0005
moderate_dt5e4,tau_ge_10,10,0.1,0.10681800458074688,0.10674052658447952,7.747799626735274e-05,0.000226194058969177,0.34252887374867136,moderate,0.0005
