affinity,case,dt,tau,k,Q_center,count_plus,count_minus,log_ratio,log_ratio_se
weak,weak_dt5e4,0.0005,5,72,48.43622679693399,788,231,1.2270803793360856,0.07482004986632429
weak,weak_dt5e4,0.0005,5,73,49.10895216911362,754,193,1.3627021791030705,0.08066974090207969
weak,weak_dt5e4,0.0005,5,74,49.78167754129326,644,184,1.252762968495368,0.08359173188630292
weak,weak_dt5e4,0.0005,5,75,50.454402913472904,620,153,1.3992815566467018,0.09027098613743373
weak,weak_dt5e4,0.0005,5,76,51.12712828565254,557,135,1.4172904614888546,0.09593091026281701
weak,weak_dt5e4,0.0005,5,77,51.79985365783218,485,124,1.3638673253324463,0.10062987528132662
weak,weak_dt5e4,0.0005,5,78,52.472579030011815,462,112,1.4170660197866443,0.10532366112642302
weak,weak_dt5e4,0.0005,5,79,53.14530440219146,445,107,1.425245447704334,0.10767072677269027
weak,weak_dt5e4,0.0005,5,80,53.8180297743711,368,83,1.489242330372333,0.12151371970041969
weak,weak_dt5e4,0.0005,5,81,54.49075514655073,372,94,1.3755990720031428,0.11544033054072211
weak,weak_dt5e4,0.0005,5,82,55.163480518730374,340,73,1.5384861764618158,0.12899537436503114
weak,weak_dt5e4,0.0005,5,83,55.83620589091001,296,69,1.456252949726801,0.13368295329460217
weak,weak_dt5e4,0.0005,5,84,56.50893126308965,288,64,1.5040773967762742,0.13819269959814168
weak,weak_dt5e4,0.0005,5,85,57.181656635269285,252,58,1.468986076965004,0.1456352748430091
weak,weak_dt5e4,0.0005,5,86,57.854382007448926,208,40,1.6486586255873816,0.1726490437497188
weak,weak_dt5e4,0.0005,5,87,58.52710737962857,204,64,1.1592369104845446,0.14327233083995572
weak,weak_dt5e4,0.0005,5,88,59.1998327518082,206,38,1.6902900090631954,0.17655072473859473
weak,weak_dt5e4,0.0005,5,89,59.872558123987844,156,27,1.754019141245208,0.2084401435599521
weak,weak_dt5e4,0.0005,5,90,60.54528349616748,147,39,1.32687094064909,0.1801214777017472
weak,weak_dt5e4,0.0005,5,91,61.21800886834712,133,24,1.7122952978738082,0.2217779602646482
