source,n,tau,k,psi,psi_ci_low,psi_ci_high,sample_count,n_streams,groups_per_stream,sample_weight_ess,sample_weight_relative_ess,stream_weight_ess,max_sample_weight_fraction,max_stream_weight_fraction,direct_reliability_gate
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,60.0,0.30000000000000004,-0.1717773766255865,-0.1787111995796093,-0.16435415707396753,333312,128,2604,17.09469462897812,5.128736627837618e-05,14.80558961026666,0.2188867153301438,0.22780810160050455,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,60.0,0.325,-0.17510476768796224,-0.18442654756662338,-0.16607219307408128,333312,128,2604,10.346259889004443,3.1040766276055e-05,9.479161812606833,0.2878521567039248,0.29552688273048894,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,60.0,0.35000000000000003,-0.17756647380149151,-0.1896814153583299,-0.16704959212764386,333312,128,2604,6.8636435812477385,2.0592248647656666e-05,6.495230407295899,0.35938656639652516,0.3657286929095615,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,60.0,0.375,-0.1793094479038608,-0.19447807319706897,-0.16753757614130918,333312,128,2604,4.922234973814668,1.476765005104727e-05,4.749874553075191,0.42975972238486415,0.43482169384342617,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,60.0,0.4,-0.18046684474327815,-0.1988772674999531,-0.1676266243615035,333312,128,2604,3.7646279750073295,1.12946067798559e-05,3.6774793880241297,0.4961703439505584,0.5000950026522336,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,60.0,0.42500000000000004,-0.18115412824752963,-0.2029114487385943,-0.1674170007256032,333312,128,2604,3.0332948614410515,9.100467014212064e-06,2.9864416573185695,0.5569110535913625,0.5598828348829666,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,60.0,0.45,-0.18146782179273646,-0.20661327902302784,-0.16699062679359883,333312,128,2604,2.547922493123064,7.644256711798747e-06,2.5214922691026143,0.6112318682585538,0.6134399368814114,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,60.0,0.47500000000000003,-0.1814863633187424,-0.21005155854825383,-0.16640234087929,333312,128,2604,2.2119937163150256,6.636405878921328e-06,2.1965135877644366,0.6590754990036093,0.6606917304675933,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,60.0,0.5,-0.1812722045012939,-0.21363050503153555,-0.16567825237227557,333312,128,2604,1.9710362299318547,5.9134871529733546e-06,1.961699264385487,0.700810687780419,0.7019798663617922,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,60.0,0.525,-0.18087439476664222,-0.21693779259558044,-0.1648570298331588,333312,128,2604,1.792835905949719,5.3788519643748766e-06,1.7870728036301329,0.7370225079491427,0.7378605195893408,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,60.0,0.55,-0.1803311463192884,-0.2200894179144472,-0.16396752800609188,333312,128,2604,1.6575420413076656,4.972944392364108e-06,1.6539193902313631,0.7683710467506468,0.7689673658544386,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,60.0,0.5750000000000001,-0.1796721173590144,-0.22312555202725312,-0.16302360788546313,333312,128,2604,1.5524719028958958,4.657713802371039e-06,1.550161397155899,0.7955074700170242,0.7959294023591378,0
