quarter,j,interval_start,interval_end,mean_I,se_mean_I,sample_count,mean_sin_theta,se_mean_sin_theta
2,26,500,1000,0.24641723745551006,0.002921584884828872,512,0.006573224791533362,0.0014017048855250501
2,27,500,1000,0.24606456236335,0.002907103492172911,512,0.005582327185332533,0.0014433086557470378
2,28,500,1000,0.24655701059550122,0.0030801477723305143,512,0.0043023174478490495,0.0014408478107779186
2,29,500,1000,0.2464412269634259,0.0029891818252490037,512,0.005672684436002107,0.0014455743319012602
2,30,500,1000,0.24702328548258334,0.00281495230908645,512,0.004323147025487643,0.00135887452304871
2,31,500,1000,0.25161888024348744,0.0032082586594470216,512,0.0016970119023822221,0.0014115173339818063
2,32,500,1000,0.2511465095764709,0.003342253189543219,512,0.004399749114023452,0.0014184322390478174
2,33,500,1000,0.248365420270623,0.003185339866744942,512,0.0012329079081346704,0.0014706486347265098
2,34,500,1000,0.2487960319102065,0.0030214276633327175,512,0.0002890007689498863,0.0014178991151468482
2,35,500,1000,0.24931477727000204,0.0030314702064645305,512,0.0016446880952091705,0.001417996806062343
2,36,500,1000,0.24881401370586875,0.002957167670673722,512,0.002291230877908188,0.0014576971525896195
2,37,500,1000,0.25053711424452685,0.0033196500626890136,512,0.002280284074905538,0.0014401469917405356
2,38,500,1000,0.2519954281594353,0.0034031872421533653,512,0.001772669642023587,0.0014487016268552265
2,39,500,1000,0.2541495589366862,0.003477891527688504,512,0.0005363114020545639,0.0014372221353914376
2,40,500,1000,0.2558886455054924,0.0037844948250016905,512,-0.0004261341680090763,0.0014401039958408493
2,41,500,1000,0.2565446560554939,0.003850561801101474,512,0.0005741464795401425,0.0013985525102689124
2,42,500,1000,0.2573117101638537,0.003942585077974609,512,0.001841613331894409,0.001438720363992519
2,43,500,1000,0.2606903712536904,0.003993244610151825,512,-0.00029736388257041717,0.0014812983188437373
2,44,500,1000,0.25868972159580306,0.003632310283981934,512,0.0008790830632786201,0.0014744639645398758
2,45,500,1000,0.25957629074989785,0.003803428710409007,512,0.0010905333594447104,0.0014549691183881014
2,46,500,1000,0.2624505257533063,0.003973430981292535,512,-0.0002452725078912513,0.0014246906663884517
2,47,500,1000,0.26095814967429876,0.003693458953966974,512,0.004029236040702305,0.001510193968563412
2,48,500,1000,0.26179854021881993,0.0037341113747492026,512,0.003261062476868688,0.001486725695857474
2,49,500,1000,0.26213802113011786,0.003774718326511083,512,0.003304425486052034,0.0014407855608309804
2,50,500,1000,0.26100637501871893,0.003643652842208027,512,0.0008295590408940081,0.0014121487285512144
2,51,500,1000,0.2617738000745611,0.003711771479834851,512,0.004237614744697283,0.0014655978971593701
2,52,500,1000,0.2632064842857692,0.0037300642406659992,512,0.0038785649502231312,0.0014185334190953787
2,53,500,1000,0.2631304630999031,0.0036726028900969277,512,0.002132479930609703,0.001450541479532321
2,54,500,1000,0.26052334611329786,0.0035286709649083726,512,8.33638052443246e-05,0.0014426704087761343
2,55,500,1000,0.25888639269652325,0.003460560120562454,512,0.0018194642847577575,0.0014221855148425543
2,56,500,1000,0.2602517890548067,0.0035396597042393297,512,0.00020960209094931923,0.0015012365773496707
2,57,500,1000,0.2623429504328463,0.0035797613976367043,512,0.0019135136625366622,0.0015681137862006657
2,58,500,1000,0.26229017411065575,0.003729059031000056,512,0.0034048262062618684,0.0014858306999366864
2,59,500,1000,0.26257001474428504,0.0037898534852256836,512,0.0017097418184845745,0.0014528816239817524
2,60,500,1000,0.26032791385832954,0.0037189138525149977,512,0.0020060876914908946,0.0014271393019384792
2,61,500,1000,0.26233447992933423,0.0037660021530315562,512,0.0024727758941232663,0.0013273301374363041
2,62,500,1000,0.26191890918801164,0.0036157610152932427,512,0.0026284447368689003,0.001392243316039845
2,63,500,1000,0.26076261738950346,0.0037086149959717533,512,0.00040682380437001347,0.0014154215033107907
2,64,500,1000,0.2599202628409968,0.003719653738643953,512,0.001216071426883093,0.0014900994694658717
2,65,500,1000,0.2598539134952117,0.003931575424386362,512,0.0005977097969535419,0.001483476123838949
2,66,500,1000,0.2611402838576985,0.0038635912577063168,512,0.0022117632321850783,0.0014635672721090675
2,67,500,1000,0.26005749444178294,0.00355870891179796,512,0.0026488211473748363,0.0014636256280204415
2,68,500,1000,0.2584300723076387,0.003656212262564311,512,0.001682265326260121,0.0014600573092433825
2,69,500,1000,0.26107116721498635,0.0037111930934857268,512,0.0019598556938348584,0.001588260870123674
2,70,500,1000,0.2637370144025684,0.0038723879696491593,512,0.0029817761406989466,0.0015503816600586082
2,71,500,1000,0.26384615619863905,0.0040657848894906775,512,0.0027480181684252057,0.0014834569383281196
2,72,500,1000,0.2654625388015544,0.004124384373331439,512,0.002407115217442502,0.001418038780363648
2,73,500,1000,0.2673459998542563,0.004165928072645094,512,0.00150775533313212,0.0014164707344181853
2,74,500,1000,0.2699894486505799,0.004158067135804898,512,0.0019217035584323035,0.0013677922954015713
2,75,500,1000,0.2695108059803399,0.004176432540837967,512,0.0011069093106988157,0.0015254966345419954
2,76,500,1000,0.2694900255748665,0.004046843122192159,512,0.00015391779393764853,0.0014702772072427471
2,77,500,1000,0.2681175138301882,0.004029521753550568,512,0.0024586973316269296,0.0014171724853261074
2,78,500,1000,0.2672674292254368,0.004133620111836361,512,0.0026019317218901345,0.001433849694599039
2,79,500,1000,0.2678535770139081,0.00414484134965443,512,0.0014408012643638635,0.0014754683950112138
2,80,500,1000,0.2670500362902042,0.004043987353990031,512,0.0006031931716313367,0.001454046606745955
2,81,500,1000,0.2666400002061622,0.004030079610172129,512,0.0008124621191369218,0.0014745457258427443
2,82,500,1000,0.2658614325840277,0.004162055326358124,512,0.0006231809681434275,0.0013992855796672733
2,83,500,1000,0.26723079243601167,0.004239880858206716,512,0.00019484994513599028,0.0013895144293729384
2,84,500,1000,0.2673592895526852,0.004138583651929431,512,-0.00028015397910200607,0.0015069654533370605
2,85,500,1000,0.2696348430770097,0.0041814421519054176,512,-0.00047061016547913945,0.001474625399331164
2,86,500,1000,0.2707853554081482,0.004370051214884735,512,-0.0011102927667765328,0.0013864584439196904
2,87,500,1000,0.2710365067234731,0.004440857988577519,512,0.0015281258942561045,0.0014830510378245343
2,88,500,1000,0.2716465032530179,0.0043529115450673,512,0.0027630347532599645,0.001412012978954476
2,89,500,1000,0.27200346912236073,0.004442790303885173,512,-0.0003330158954649472,0.001437195089598465
2,90,500,1000,0.2710612882221394,0.004465580483360576,512,0.0011162433530275036,0.0014001186946372367
2,91,500,1000,0.268833171340888,0.004596587688937788,512,-0.0018840731787206565,0.001408188344992597
2,92,500,1000,0.2680282913293555,0.004840021250728729,512,5.258043435813934e-05,0.0014123131654782978
2,93,500,1000,0.26891177547320055,0.004926551921242412,512,0.0012659686427993443,0.0014288173306613054
2,94,500,1000,0.26548467141691123,0.004844606493538749,512,-0.00026256711849723807,0.0013574528130933944
2,95,500,1000,0.264498062555909,0.004851649772884066,512,0.0005976752276068459,0.0013696473442898315
