n,tau,inverse_tau,k,psi_medium,psi_right,right_minus_medium,difference_ci_low,difference_ci_high,tau_times_difference,medium_reliability_gate,right_reliability_gate,paired_reliability_gate
10,140.0,0.007142857142857143,0.2,-0.1550805004716806,-0.15571054282932845,-0.0006300423576478531,-0.0018479292190524375,0.001136534556322375,-0.08820593007069943,0,0,0
10,140.0,0.007142857142857143,0.3,-0.20269446816285877,-0.20349144974807393,-0.0007969815852151563,-0.0038424162811790284,0.0039655115919323275,-0.11157742193012188,0,0,0
10,160.0,0.00625,0.05,-0.05513124417246053,-0.055240009194720295,-0.0001087650222597672,-0.00012100789460179427,-9.728504990872395e-05,-0.01740240356156275,1,1,1
10,160.0,0.00625,0.1,-0.0967292054617547,-0.0970580307393175,-0.000328825277562797,-0.0004419171093661196,-0.00022954502928877328,-0.05261204441004752,0,0,0
10,160.0,0.00625,0.2,-0.16036005525104277,-0.16117938805155252,-0.0008193328005097478,-0.001657677361481761,-8.979129031044269e-06,-0.13109324808155964,0,0,0
10,160.0,0.00625,0.3,-0.21546376919668497,-0.2172460150984334,-0.0017822459017484138,-0.0033162952853770223,0.00024517964447518285,-0.2851593442797462,0,0,0
10,180.0,0.005555555555555556,0.05,-0.055052573977093316,-0.05515686284527143,-0.00010428886817811373,-0.0001158127952617034,-9.138918640719842e-05,-0.01877199627206047,1,1,1
10,180.0,0.005555555555555556,0.1,-0.09635372901492813,-0.09670329448095123,-0.0003495654660231051,-0.0004731581511233724,-0.00022663696925040553,-0.06292178388415892,0,0,0
10,180.0,0.005555555555555556,0.2,-0.16021992151422065,-0.16092189685886896,-0.0007019753446483035,-0.0017562762471929518,0.00022666285879652134,-0.12635556203669462,0,0,0
10,180.0,0.005555555555555556,0.3,-0.21714058269786685,-0.21777070854763092,-0.0006301258497640738,-0.0033297075070817077,0.001185304901966956,-0.11342265295753329,0,0,0
10,200.0,0.005,0.05,-0.055084136662545406,-0.055176589595717834,-9.245293317242803e-05,-0.00010839380674229835,-7.383789036256253e-05,-0.018490586634485606,1,1,1
10,200.0,0.005,0.1,-0.09572930189725538,-0.09627619973838182,-0.0005468978411264369,-0.0007648330487107835,-0.0002767837322708366,-0.10937956822528738,0,0,0
10,200.0,0.005,0.2,-0.15182007382292217,-0.15390234475183803,-0.002082270928915858,-0.0044151472788209025,-0.0010431147525908147,-0.4164541857831716,0,0,0
10,200.0,0.005,0.3,-0.20020561096880157,-0.2031470304613465,-0.002941419492544922,-0.008609253835869354,-0.0019769005013501274,-0.5882838985089844,0,0,0
20,20.0,0.05,0.05,-0.022440085147606138,-0.024124468924884467,-0.0016843837772783296,-0.0016937524647102243,-0.0016765231416270687,-0.03368767554556659,1,1,1
20,20.0,0.05,0.1,-0.03595123227349815,-0.042022877885353346,-0.006071645611855199,-0.006104264210044402,-0.006043437923557331,-0.12143291223710398,1,1,1
20,20.0,0.05,0.2,-0.04443444766273634,-0.06559760569229622,-0.021163158029559884,-0.02130382456710904,-0.021039591940664234,-0.4232631605911977,1,1,1
20,20.0,0.05,0.3,-0.03407819865712867,-0.0781663362654105,-0.044088137608281834,-0.04452839494993384,-0.04365345487065476,-0.8817627521656367,1,1,1
20,40.0,0.025,0.05,-0.023245487522294894,-0.024178513315479266,-0.0009330257931843729,-0.0009409040074290142,-0.0009256932314693022,-0.037321031727374915,1,1,1
20,40.0,0.025,0.1,-0.038818584908948274,-0.042191862840175086,-0.003373277931226812,-0.0034034583664909754,-0.003344202282671378,-0.13493111724907247,1,1,1
20,40.0,0.025,0.2,-0.054390309690117176,-0.06616473871142929,-0.011774429021312115,-0.01194973433105534,-0.011606344259549069,-0.4709771608524846,1,1,1
